Title	Description
Umbral Knights	The Umbral Knights are a Space Marine Chapter. The Umbral Knights were among the Primaris Space Marine Chapters created during the Ultima Founding, at the direct order of Roboute Guilliman, and were created during the Indomitus Crusade. The Chapter aided Lord Commander Guilliman's Crusade until it moved further into the Dark Imperium and the Umbral Knights ultimately remained behind to help defend the worlds already freed by the Crusade.
Doom Warriors	The Doom Warriors are a Codex Chapter of unknown founding and origin. The Doom Warriors have a defect in their Catalepsean Node. Because of this their Space Marines do not sleep, which in turn makes them a morose and moody Chapter. This is why they specialize in cleansing campaigns.[Needs Citation] This article needs work on its citations.For help on citation see the citation guidelines. You can help Lexicanum by fixing it.
Inquisition	The Holy Orders of the Emperor's Inquisition, more commonly known as the Inquisition, are the powerful secret police of the Imperium responsible for guarding the souls of humanity. The purpose of the Inquisition is to identify and destroy the myriad of potential threats to the Imperium and humanity. Such is the Inquisition's power that it answers only to the Emperor. Founded in the aftermath of the Horus Heresy, the organisation's members are agents known as Inquisitors. The actual founding of the Inquisition is shrouded in mystery and there are at least two different stories surrounding its formation.
Guardians of Celeres	The Guardians of Celeres are a Space Marine Chapter of unknown origins.
Grey Knights	Some text passages and/or images of this article have been removed due to insufficient Citations and placed under Quarantine on this article's Discussion page until proper citations have been provided. You can help to restore them to the article by finding the correct citations and re-integrating the quarantined text and/or images as described in the Help article on citations. "One unbreakable shield against the coming darkness, one last blade forged in defiance of fate, let them be my legacy to the galaxy I conquered, and my final gift to the species I failed." - Inscription upon the Arcus Daemonica, attributed to the Emperor of Mankind. The Grey Knights are a Space Marines Chapter and the Chamber Militant for the Ordo Malleus. The Chapter specialises in the hunting and extermination of Chaos daemons.[2a]
Knights of the Raven	The Knights of the Raven are a Codex Chapter. The Knights of the Raven have a mysterious background, with only a scant few details known about them within the ranks of the Adeptus Astartes, Deathwatch, and the Inquisition. When they do fight alongside other Imperial forces, the Chapter communicates only when necessary and use their own cryptic battle tongue amongst themselves. Due only to the coincidence of similar iconography and title, the Knights of the Raven are assumed to be a chapter founded during a Later Founding using Raven Guard gene-stock in the latter half of M38. In M42 Chapter Master Shrike referred to the Knights of the Raven as the Brothers of the Raven Guard.[12b]
Vipers Penitent	The Vipers Penitent are a Space Marine Chapter.
Emperor's Storm	The Emperor's Storm is a Space Marine Chapter. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here. In The Complete Games Workshop Catalog and Hobby reference - The 2004-05 Edition a Emperor's Storm HQ squad is shown, created by Golden Demon 2002 winner Joe Hill, where they are red with white faceplates, pauldron trims, and arms, and their symbol is a white raptor head on red.
Doom Legion	The Doom Legion is a Space Marine Chapter of Ultramarines descent. A majority of the Chapter was corrupted into the Chaos Space Marine warband known as the Vectors of Pox during the Abyssal Crusade in M37. The Doom Legion was responsible for maintenance and garrison of the Faithful's Deliverance, the pre-Heresy star fortress that overlooks the notorious Elusian Maze asteroid fields. Few other Space Marine Chapters could boast space-borne firepower of this magnitude.[2a] The Chapter's homeworld is the artificial planet of Elusia Prime.[2b] Over time, the Doom Legion was all but forgotten by the rest of the Imperium, left in that distant outpost, fighting endless wars against the denizens of the accursed sector. The Doom Legion was one of the thirty Chapters sentenced to the Abyssal Crusade. Because of their duty of watching over the Elusian Maze, only six companies took part in the Crusade, instead of the entire Chapter. Five of these were corrupted into the Vectors of Pox warband. After the crusade, the Inquisition subjected the Doom Legion to rigorous examinations to seek for corruption, though found none.
Dark Eagles	The Dark Eagles are a Codex Chapter of Space Marines. They are allegedly a Successor Chapter of the Raven Guard, whose exact founding date is unknown. Dark Eagles Marine Dark Eagles Marine from the 3rd Company
White Dwarf 483	- Contact! Letters and painted models from our readers. - Worlds of Warhammer You’ve got to ask yourself one question: how will you pick your new army for 2023? Warhammer Age of Sigmar background writer, Leila Craven, guides us through the toughest of decisions. - Inside the Studio Check out the games we’ve played and the models we’ve painted this month.
Death Eagles	The Death Eagles are a Codex Chapter of Space Marines. They are thought to be a Successor Chapter of the Raven Guard from an unknown founding. The Death Eagles are believed to trace their origins back to the Raven Guard through an indeterminate founding. The Death Eagles originally appeared in White Dwarf 112 (UK) and White Dwarf 123 (UK) where they were depicted with notably different colours from the Chapter's current ones:
Marines Errantor	The Marines Errantor are a Space Marine Chapter. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here. The Marines Errantor are listed by name only in Chapter Approved 2001. This may be an editorial error, confusing the chapter with the Marines Errant, which are listed in the same book.
Valiant Blades	The Valiant Blades are a Space Marine Chapter. The Valiant Blades were among the Primaris Space Marine Chapters created during the Ultima Founding at the direct order of Roboute Guilliman. Sometime after their creation, the Chapter's ships unintendedly received a plea for aid from House Hawkshroud, while traveling through the Warp, which had been meant for the Knight House's allies. The message said that the Knights' home of Krastellan was being invaded by the Orks of Waaagh! Zagsmasha and they desperately needed to call upon the debts their allies owed them, in order to save their world. Though the Chapter were not among those who owed such a debt, the Valiant Blades turned their ships' helms towards Krastellan to aid the beleaguered Knight House. Whether they will arrive in time to be of any help though, is unknown.
Fervid Blades	The Fervid Blades are an Imperial Fists Successor Chapter from the Ultima Founding. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here. The Fervid Blades were created by the Games Workshop employee Tom and they appeared in White Dwarf 515.
White Dwarf 197 (UK)	Warhammer 40,000: An overview of the contents for Warhammmer Fantasy Battles can be found here.
Iron Knights	Black shields on their left shoulder The Iron Knights are a Successor Chapter of the Imperial Fists. The Iron Knights are a crusading Chapter. They are one of the twelve Chapters that send a champion to the centennial Feast of Blades, and are the only Chapter to have won on two consecutive occasions.
Golden Sons	The Golden Sons are a Successor Chapter of the Blood Angels.[1a] The Chapter was Founded in M38 and were charged with patrolling the northern reaches of the Galaxy. The Golden Sons' ships were said to have an auric quality to them and each housed a portion of the Chapter's fabled Librarius.[1a] The Chapter's Battle Brothers were considered warrior-scholars and wore golden tattoos on their faces.[1b] They were among the Blood Angels' Successor Chapters that took part in the Devastation of Baal.[1b] The war with Hive Fleet Leviathan destroyed the Golden Sons' fleet and reduced them to only a handful of scattered survivors.[1a]
Black Guard	The Black Guard are a Raven Guard Successor Chapter that was created during the Second Founding. During the Horus Heresy, the Primarch Corvus Corax reorganized his Legion's badly depleted Shadow Wardens into the Black Guard and named Gherith Arendi as their commander. The Chapter believes in the timely application of overwhelming firepower to defeat their foes and are masters of the careful ambush. During battles they deploy massed batteries of Thunderfire Cannons and Vindicators to annihilate their enemies in an instant; as overkill or half measures are not concepts which the Black Guard understand. As a result of this, they are known to leave vast cratered ruins in the wake of their many victories.
Masters of Protelus	The Masters of Protelus are a Codex Chapter of unknown founding.
Deathwing (Anthology)	This article needs work on its citations.For help on citation see the citation guidelines. You can help Lexicanum by fixing it. Deathwing is a short story anthology of tales set in the Warhammer 40,000 Universe, edited by Neil Jones and David Pringle (although the Black Library website states that it was edited by Marc Gascoigne and Andy Jones). It was originally printed in 1990, but was reprinted by Black Library with three new stories in 2001, with the original stories revised to adhere to the current background.
Imperators	The Imperators are a Space Marine Chapter. The Chapter's armour is primarily coloured dark blue, with red pauldrons and stabilising jets, and white pauldron trim and kneeplates. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here.
Flames of Aries	The Flames of Aries are an Imperial Fists Successor Chapter. The Flames of Aries are a headstrong Chapter, which found themselves within the Imperium Nihilus, in the wake of the Great Rift's creation. With the Imperium now beset by numerous foes, Chapter Master Rigentus led the Flames of Aries' fleet into a series of unrelenting battles, to stem the tide. Eventually, though, the Chapter met their match in the Ork infested Villipan System, where they were surrounded after carving a path through the Xenos' forces. With their end in sight, the Chapter decided to fight a glorious last stand and were destroyed by the Orks. Unbeknownst to the Flames of Aries, however, a Torchbearers task force, led by the Custodes Shield-Captain Galion Magethus, had been searching for the Chapter in order to give them the tools needed to create Primaris Space Marines. By the time they arrived in the Villipan System, though, it appeared the task force was too late, until Magos Dominus Zuhulis Vul discovered life-signs aboard the Chapter's damaged Strike Cruiser, Spear of Aries. A group of 20 Flames of Aries, led by the Librarian Salas Dimarco, still lived, but they were fighting off a horde of Orks that had invaded the Spear of Aries. Shield-Captain Galion Magethus, led his Custodes to their aid and alongside him were the Greyshield Primaris Space Marines sent to reinforce the Chapter, led by Captain Alagon Mors. Together the Imperials were able to destroy the Orks and the Torchbearers then began to rebuild the Flames of Aries. Soon the Chapter was given the ability to create Primaris and was reinforced with ten Companies worth of former Greyshields. The Spear of Aries was also repaired and with the seeming death of Rigentus, Alagon Mors was made the Flames of Aries' new Chapter Master.
Iron Ravens	The Iron Ravens are a Raven Guard Successor Chapter. The Iron Ravens chapter with their home planet of Taltos were lost to the Warp. After the Great Rift's appearing, the Inquisition and the Raven Guard faced the possibility that the planet Taltos had reappeared, and that perhaps the Chapter based there fell to worship Chaos God Nurgle, turning into Raptors. The newly created Chapter is composed entirely of Primaris Space Marines and many of them fought in the early years of the Indomitus Crusade, as Unnumbered Sons. As a result of this, the Iron Ravens do not fight like other Raven Guard Successors, as they have learned different tactics from other Chapters. This has left them very adaptable on the battlefield and the Iron Ravens will take on the tactics of other armies, where they see fit. Their 10th Company will gather intelligence for months to adapt to whatever situation or foe they face, making the Chapter more flexible in combat. When the main body of the Chapter then strike, they will unleash their specialty of sudden, shocking Drop-pod assaults that win the war in a single unstoppable blow. These precise destructive strikes are called "the Blade of Corax", by the Iron Ravens.
Red Dragons	This article or article section is based on information from a Fanatic Press publication such as Fanatic Magazine or one of its predecessors (e.g. The Citadel Journal, Necromunda Magazine, etc.). These publications regularly featured articles submitted by hobbyists, and as such, their content may or may not be in contradiction to established background lore. The Red Dragons are a Space Marine Chapter.
The Citadel Journal 30	Issue 30 of The Citadel Journal was published in 1999. The magazine contains background articles, modelling advice and rules for: ...
Furor Marines	The Furor Marines is a Space Marine Chapter. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here.
Ice Bears	The Ice Bears are a Space Marine Chapter. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here. The Ice Bears are a Chapter created by Ashley Lowe, a Games Workshop employee, and a Primaris Chaplain was showcased in a White Dwarf September 2019 article.
War Bearers	The War Bearers are a Codex Chapter of Space Marines.
Void Talons	The Void Talons are a Space Marine Chapter.[1a] During the Indomitus Crusade, Chapter Master Yosharo DuGal took command of Battle Group Forthrax of Fleet Quartus. During the subsequent Battle of Malak, the majority of Fleet Quartus was lost though it is unknown how many Void Talons survived.[1a]
Dark Imperium (Game)	Dark Imperium is the starter set for the 8th Edition of Warhammer 40,000. Across the war-torn battlefields of the 41st Millennium, Mankind battles for survival against myriad horrifying foes. Beset on all sides by hostile aliens and threatened from within by traitors, Humanity’s only chance for survival rests with the continuation of the cruel and bloody regime known as the Imperium. Yet few among Mankind’s untold population realise the full truth of their situation. If there is any future at all, it is a grim one... Intercessors
Jade Dragons	The Jade Dragons are a loyalist Space Marine Chapter, although they appear to hold little respect for the Imperium they serve. They are staunchly secretive and few outside the Chapter know anything more than the basic details. Codex Noctis Verminium tortured out of Thelso Delyer, Lord Archivist of the Librarium on Morkevid presents the history of the hunt for the Infinity Worm (also called the Black Leviathan). Started by Lord Inquisitor Trintis Ven and 2 battle companies of the Jade Dragons lead by Captain Nu Falleo, the hunt has become the driving force for all Chapter actions. The chapter prefers fast assault and shock tactics with lightning claws and seeker rounds for their boltguns and bolt pistols.
Sons of Medusa	The Sons of Medusa are a Successor Chapter of the Iron Hands.[1a] The Sons of Medusa, although born out of strife and discontent, share much in common with their parent Chapter in terms of organisation and philosophy. They, too, abhor mortal weakness and place an unusual reliance on technology and equipment.[1a] The Founding of the Sons of Medusa is highly unusual in that, technically, they were never actually founded at all. Their origins lie within an Imperial civil conflict known as the Moirae Schism, which itself occurred during the Nova Terra Interregnum. During this schism, which affected all branches of the Adeptus Mechanicus and those Imperial factions closely tied to it, the Iron Hands chapter stood on the brink of destroying itself in an internal chapter war. However, the ruling council of the Iron Hands, the Great Clan Council, was able to settle the matter by getting all concerned to agree to a simple solution; the Moirae dissidents were to be exiled from the chapter, with all parties swearing never to take up arms against each other. In the wake of this ruling, almost a full third of the chapter split away to become a fleet-based divergent branch of the Iron Hands. Over time, they increased their numbers (by accepting Moirae dissidents from other Iron Hands successor chapters as well as traditional recruiting) and by the time the Moirae Schism was over, the Moirae Iron Hands were reckoned to stand at chapter-strength.[1a]
White Dwarf 352 (UK)	White Dwarf 296 White Dwarf 351 White Dwarf 180 White Dwarf 168 White Dwarf 160 White Dwarf 122
White Dwarf 241 (UK)	Warhammer 40,000 Battlefleet Gothic An overview of the contents for Warhammmer Fantasy Battles can be found here.
Lion Warriors	The Lion Warriors are a Codex Chapter of unknown origin.
Lion El'Jonson	"Loyalty is its own reward" Lion El'Jonson, also known as The Lion and The First, is the Primarch of the Dark Angels. He was scattered along with the other Primarchs to the far corners of the galaxy. He finally came to rest on the world Caliban, a beautiful but blighted world tainted by Chaos due to its proximity to the Eye of Terror. Lion El'Jonson was renowned for a level of strategic brilliance and martial prowess that was rivaled perhaps only by Horus, but was distrusted by his brother Primarchs for his secretive and taciturn nature.. The Chaos emissary to Lorgar called him the Duellist. Having disappeared for ten millennia following the Destruction of Caliban after the Horus Heresy, The Lion has finally returned to the Imperium following the Arks of Omen Campaign.
Iron Fists	The Iron Fists are an Iron Hands Successor Chapter. They carry Storm Shields moulded with a medieval gauntlet and make use of Land-Behemoths. The Iron Fists were the first to develop missiles with an extended range for the Whirlwind. This development occurred during the Assault on Hive Vortis. This longer ranged type of missile changed the short ranged support of the Whirlwind into a long-range bombardment artillery. However, to obtain the distance required for long-range engagement, accelerant was added at the cost of lessening the amount of high explosives. This, in turn, led to a situation when the missiles failed to cause sufficient damage to be effective in their new bombardment role.
Redeemers	The Redeemers are a Space Marine Chapter.
Twilight Magisters	The Twilight Magisters are a Space Marine Chapter.
Deathwatch	The Deathwatch is a unique and specially trained Space Marine Chapter that dedicates its every hour to xenos hunting.[36a] Known as the Shield that Slays[36a], they are the Chamber Militant of the Ordo Xenos, charged with protecting it in its search of information, containment, and ultimate destruction of all xeno species. Consisting of Battle-Brothers drawn from many Chapters, the Deathwatch operates from Watch Fortresses and Watch Stations across the whole of the Imperium. Rather than following the standard Codex Astartes organization, the Space Marines themselves are drawn from many different chapters. These chapters have sworn sacred oaths to raise a unit of Space Marines specifically for this task. The warriors are then gathered together to fight where and when they are needed. Giant fortresses orbit desolate worlds at the edge of the galaxy, keeping constant vigil over possible xenos forces. There are also several secret bases spread throughout the Imperium, which provide a launch site for their crusades.[Needs Citation]
Repentant Brotherhood	The Repentant Brotherhood are a Dark Angels Successor Chapter. In M41, the Repentant Brotherhood answered Supreme Grand Master Azrael's summons to the site of the destroyed planet Caliban, where they joined the Dark Angels and other Successor Chapters to battle the Chaos Space Marines led by Typhus.
Silver Drakes	The Silver Drakes are a Space Marine Chapter. The Silver Drakes were among the Primaris Space Marine Chapters created during the Ultima Founding, at the direct order of Roboute Guilliman. In the aftermath of the Great Rift's creation, the Chapter was charged by Guilliman with turning back the advancement of Hive Fleet Ouroboris. Though their tactics are effective against the Xenos, the Silver Drakes' numbers are few and the isolated Chapter has now dug in for a bloody running war with the Hive Fleet. They dispatched a request for aid which was answered by Imperium Nihilus Regent Dante, who has sent the Charnel Guard, Blood Dragons, and Sable Knights to aid them. In addition Eldar emissaries have arrived and offered aid.
Inceptors	The Inceptors are a Second Founding Space Marine Chapter descended from the Ultramarines. The Inceptors fought during the Macharian Crusade, but during the subsequent Macharian Heresy they came to blows with their former allies, the Doom Warriors over a matter of honour. In the Euxcine System they fought a long-running and protracted conflict under predetermined rules of engagement. They refused to end the conflict, and as a consequence the Minotaurs Chapter was dispatched to end it for them. The two Chapters were caught unprepared and, although the Doom Warriors were able to escape the system, the Inceptors were stranded on Euxcine and were systematically destroyed until fewer than a hundred Space Marines remained. They were forced to surrender. Many of the Chapter's relics, including their flagship - a Great Crusade-era assault ship - were captured by the Minotaurs. The Minotaurs were subsequently denounced across Ultramar and forbidden from entering its boundaries. Other Ultramarine-descended Chapters have also sworn vengeance against the Minotaurs.
Legion of the Damned	The Legion of the Damned are a legendary and mysterious force of Adeptus Astartes. Pale and gaunt Space Marines plated in black power armour adorned with death imagery, they unexpectedly appear from nowhere to help Imperial forces in times of great need. The truth behind their origin is currently unknown for certain, but Inquisitorial investigations have drawn a link between them and the lost Fire Hawks Chapter. The Legion are afflicted by a warp contagion that destroys their sanity; as it progresses their bodies decay, but they grow in supernatural strength. Each Marine is rapidly approaching the moment when he will succumb to the contagion. Combat can initiate the final stages of the disease, in which the Marine reaches a peak in power and enters a berserker state.[1a] A few scholars of Adeptus Astartes have proposed that the Legion of the Damned is a psychic backlash made real. Events such as the Drop Site Massacre or the death of a Primarch were so traumatic they left a permanent scar on the psyches of all of the First Founding Legions, so these theories run, a scar so deep it has permeated not only the Chapters that came after them but hundreds of successor Chapters since that tumultuous time. The Space Marines that have remained loyal to the Emperor since then have a deep-seated belief that those who betrayed them should be made to pay for their transgressions with fire and fury. It is quite possible that the Librarians of the Adeptus Astartes tap into this belief and make it real, whether by accident or design, resurrecting the ghosts of their fallen brothers and giving them a chance to wreak their terrible revenge. These scholars believe it is a Chapter’s burning conviction that the guilty must be punished that gives the phantoms of the Legion a physical form.[4a]
Red Wings	The Red Wings are a Space Marine Chapter descended from the Blood Angels. The Chapter suffered grievous losses during the Devastation of Baal, and now consists mainly of Primaris Space Marines. This has led many of them to be ignorant to the true nature and threat of the Black Rage.[3a] Their Gene-seed gives each member bright white hair. But the new Primaris Space Marines of the chapter lack this distinctive trait.
Iron Scepters	The Iron Scepters are a Space Marine Chapter. They were hurriedly created to respond to a series of World Eaters incursions, but the Chapter lacked the time to fill their armories themselves. Instead the Iron Scepters relied on the Tech Magos assigned by the Fabricator General, to do it for them. Unfortunately, the Magos was reluctant to leave his studies to perform such a "menial chore" and instead gave the Chapter faulty and experimental wargear. The Iron Scepters were already well on their way to confront the World Eaters, when they realized their equipment was defective. Many outsiders, however, believed that the Chapter's problems stemmed from a lack of faith in the Emperor. Rather than using their technical difficulties as an excuse for their defeat, the Iron Scepters accepted them as a challenge. Perhaps the most notable of the defects they faced, were the experimental helmets that had been designed to enhance the Chapter's senses. Wearing the helmets were excruciatingly painful for the Iron Scepters and caused scarring on their foreheads. Though nearly all of the defective equipment has since been replaced, the helmets have been retained as proud symbols of the hardship the Chapter once faced. When an Iron Scepter Scout is initiated as a full-fledged Space Marine, they must wear the helmet until they develop the tell-tale scars of the Chapter. The scars are seen by the Iron Scepters as a constant reminder of their history and humility.
Raven Guard	The Raven Guard were the XIX Legion of the original Space Marine Legions. Their Primarch is Corvus Corax. Their homeworld is Deliverance (originally named Lycaeus), a moon which orbits the Hive World Kiavahr. The Legion was devastated at the outbreak of the Horus Heresy and survived only by the most desperate of measures. The Raven Guard specialise in guerrilla warfare, moving behind enemy lines with unrivaled stealth and striking with precise application of force.
Marines August	The Marines August are a Space Marine Chapter.
Knights of Mhorwen	The Knights of Mhorwen are a Space Marine Chapter. During the Indomitus Crusade, they were to be reinforced and given the ability to create Primaris Space Marines, by a Torchbearers Fleet. However the Fleet had trouble finding the Chapter and descended upon a ruined Forge World, which they believed had dealings with the Knights of Mhorwen. A small force from the Fleet was sent to the world and found the information was located within the data-core of the Archivolt Quranos Forge Temple. Upon entering the Forge Temple, however, the Torchbearers were attacked by hordes of corrupted Adeptus Mechanicus constructs. It was then revealed that the ruined Forge World had been invaded and then infected by Scrap Codes, which caused the Archivolt to create the mechanical hordes. The Torchbearers were heavily outnumbered and they suffered heavy losses before they reached the data-core and escaped with the Knights' location.
Rainbow Warriors	The Rainbow Warriors are an Ultramarines Successor Chapter. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here. This article needs work on its citations.For help on citation see the citation guidelines. You can help Lexicanum by fixing it.
Flame Eagles	The Flame Eagles are a Space Marines Chapter. Allegedly a Successor Chapter of the Raven Guard, their exact founding date is unknown. Trazyn the Infinite has a collection of Flame Eagles helmets, which he sometimes confuses for the Fire Hawks.
Minotaurs	The Minotaurs are a loyalist Space Marine Chapter with a particularly brutal reputation and mysterious ties to the High Lords of Terra.[1b] The Minotaurs are a relatively mysterious Chapter of the Adeptus Astartes, as they are principally notable for the fact that, beyond the last thousand years, most records of them appear to have been locked away under seals so tight even members of the Inquisition find them difficult to open. In addition, other records appear to have been lost or mislaid. The matter is made even more complex by the existence of conflicting historical records relating Minotaurs Astartes chapter. These records have led to uncertainty on if the "Minotaurs" who appeared in M32, M36, and M41 are the same chapter or multiple chapters who have shared the same name. Finally, the chapter is rumored to possess some form of direct tie to the High Lords of Terra themselves that circumvents other forms of Imperial bureaucracy completely, a rumour that has given the Ordo Hereticus some cause for concern.[1b] A chapter listed as the Minotaurs was recorded in action as early as M32, in the suppression of the Solar Rebellion, notably working along side other Astartes chapters. However, other records state that the Minotaurs were not founded until the 'Cursed' 21st Founding in M36. Their recorded actions between M36 and M38 led to the Minotaurs being known as berserkers. While noted for quick responses to calls upon them for aid, they were also known for ignoring command-trees and battle-plans completely and simply engaging the enemy unto their destruction. This reputation for being unreliable allies resulted in the Minotaurs being shunned by the main body of Imperial forces. This suited the Minotaurs fine, and sometime in M38, they simply disappeared from Imperial records.[1b]
Night Watch	Some text passages and/or images of this article have been removed due to insufficient Citations and placed under Quarantine on this article's Discussion page until proper citations have been provided. You can help to restore them to the article by finding the correct citations and re-integrating the quarantined text and/or images as described in the Help article on citations. There may come a time when men have forgotten all of the glories of our age, forgotten even the Emperor, may He forgive me for saying. But this I swear. When all else is dust and all other names are forgotten, the name of our Chapter shall endure, and through it, so shall we!— Chaplain Harak of the Night Watch, prior to the loss of the entire 5th Company at the Battle of Silver River The Night Watch are a Space Marine Chapter one of the Astartes Praeses Chapters which, according to the ancient tome Mythos Angelica Mortis, were created to guard the Eye of Terror.
Into the Maelstrom (Anthology)	Into The Maelstrom is an anthology of short stories set in the Warhammer 40,000 Universe. Various authors contribute, and the anthology is edited by Andy Jones and Marc Gascoigne. It was first published in 1999, and is currently out of print, although several of the short stories were re-published in Let the Galaxy Burn (Anthology). "Genestealers! Rius thought. His worst fears had been confirmed. Before he could train his weapon on the Tyranid construct and blow its vile carcass apart, the monster plunged a taloned claw through the back of Julius's armour" by Chris Pramas
Hammers of Retribution	The Hammers of Retribution are a Space Marine Chapter.[1a] Their chapter symbol is a pair of ornate crossed Thunder Hammers.[1a]
Mooneaters	The Moon Eaters are a Space Wolves Successor Chapter, that was created during the Ultima Founding. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here. The Moon Eaters were created by the White Dwarf employee Sophie Bostock and they were first featured in White Dwarf 459. While their name was initially Mooneaters, later White Dwarf issues have given the Chapter's name as Moon Eaters.
Illuminators	The Illuminators are an Ultramarines Successor Chapter. They are warrior-knights of valor and nobility, whose Chapter's culture is heavily influenced by the tribes of their Homeworld Samothar. These tribes worship the Emperor as a sun god and the Illuminators believe it is their duty to illuminate the darkness of the Halo Zone, where Samothar resides. In that way, the Chapter ensures the Imperium's foes have no shadows to hide in within that realm. This is also combined with the belief, that the Illuminators must carry the Imperium's light into the furthest reaches of the galaxy as well. As a result of doing so, the Chapter has managed to forge strong bonds with several prominent Rogue Trader Houses. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here.
Silver Eagles	The Silver Eagles are a Successor Chapter of the Ultramarines Legion, created during the Second Founding.
Tempestors	The Tempestors are a Space Marine Chapter.
Red Seraphs	The Red Seraphs are a Space Marine Chapter. They are part of the Triarchy. The Red Seraphs are not a traditional Founding Chapter, as they emerged in a murderous civil war which tore the Blood Eagles Chapter apart. Alongside another splinter faction, the Angels Numinous, they represent the survivors of the Blood Eagles. Despite this background, both the Red Seraphs as well as Angels Numinous upheld the ancient vows of their parent chapter, including their membership in the Triarchy. The Red Seraphim honor their dead by placing them in ornate sarcophagi within the beautiful bowels of their warships.
Shadow Wolves	The Shadow Wolves are a Space Marine Chapter.[1a] They were thought to have been destroyed while fighting alongside the Black Templars, during a Tyranid invasion of their homeworld, Varadon, in 987.M41.[1a][Note 1] Despite this, a strike force of the Shadow Wolves later came to the aid of Cadia during the Thirteenth Black Crusade, in which they joined the Imperial forces' efforts to retake the Chaos held Kasr Belloc. It is not known, though, how many of the Shadow Wolves were able to escape Cadia's destruction at the hands of the Despoiler.
Redeemed	The Redeemed are a Space Marine Chapter.
Lamenters	The Lamenters are a Space Marine Chapter of Blood Angels descent. Long dogged by misfortune, they sided with the rebel forces during the Badab War, but were granted the Emperor's forgiveness at the conclusion of that conflict subject to the undertaking of a penitent crusade. That crusade eventually brought the Lamenters directly into the path of Hive Fleet Kraken, bringing the chapter to the brink of extinction. The Lamenters are a Successor Chapter of the Blood Angels, yet they have avoided the fate of others implanted with the gene-seed of Sanguinius. While they managed to control the flaws of their gene-stock, they still succumb to it in extreme circumstances. Even so, at the close of the Dark Millennium stories have begun to circulate that the Black Rage has returned tenfold after their flawed attempts to cleanse it from their gene-seed. For much of their history the Lamenters have a record of effective and well-intentioned service to the Imperium, yet they have been subject to extraordinary levels of misfortune. Their ill-luck has seen them fighting in more desperate defences and last stands than any other chapter of its age, and they accept it with symbols of grief and lamentation. The Emperor's Tarot predicts that their misfortune will only get worse.
M32	This article contains text passages or images with citation issues. The concerned content is marked with "Citation issue" tags. Please help to improve this article by fixing those issues as described in the corresponding Help article. Do also note that it is absolutely forbidden to add new information or content to these marked passages as long as the pre-existing citation issues have not been completely resolved. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here. See directly in the marked entries.
Iron Hounds	The Iron Hounds are an Ultramarines Successor Chapter.[1b] The Chapter hails from the planet Orinus in the Ultima Segmentum[1a] and the legends of their history date back to the Fourth Founding. The Iron Hounds have always been firm allies of their Ultramarines Founding Chapter and they have pledged warriors to the cause of Ultramar on countless occasions. They have become renowned for their relentlessness and are ruthless warriors who pursue their enemies until every last foe has been slain.[1b] During the Psychic Awakening, the Ordo Xenos requested that the Iron Hounds, Rift Cobras and the Templars of the Covenant Chapters attack the Ork infested Kebban Sub-sector. The Xenos were at war with each other at that time and the Ordo sought their destruction before a Warlord rose to unite the Orks. They also aided the Ultramarines in the Third War for Damnos[1c] and later fought the forces of Nurgle in the Scourge Stars. However, it is now believed the Iron Hounds may have been destroyed, while defending the Imperial worlds located within that blighted region.
Redemptors	The Redemptors are a Space Marine Chapter.[Needs Citation] This article needs work on its citations.For help on citation see the citation guidelines. You can help Lexicanum by fixing it.
White Dwarf September 2019	White Dwarf is Games Workshop's premium Warhammer magazine, packed with amazing content each month such as new rules and background, short stories, regular columns, special guests and more. Your questions answered! Background writer Jordan Green waxes lyrical about army organisation.
